Title,url,Source: https://www.bbc.co.uk/news/topics/cwlw3xz0lvvt/brexit
Brexit immigration rules 'threat to NI',https://www.bbc.co.uk/news/uk-northern-ireland-47199037,
Brexit: Will there be a resolution to months of indecision?,https://www.bbc.co.uk/news/uk-politics-47206342,
Food industry warns Gove on Brexit 'crisis',https://www.bbc.co.uk/news/business-47200688,
UK signs post-Brexit trade deal with Switzerland,https://www.bbc.co.uk/news/uk-politics-47196636,
Brexit: Theresa May to give MPs update on Tuesday,https://www.bbc.co.uk/news/uk-politics-47192233,
"News Daily: Brexit latest, breast cancer screening and Baftas",https://www.bbc.co.uk/news/uk-47191882,
Newspaper headlines: 'Soft Brexit talks' and a Bafta queen,https://www.bbc.co.uk/news/blogs-the-papers-47193519,
Newspaper headlines: Gagging orders and more Brexit plots,https://www.bbc.co.uk/news/blogs-the-papers-47187473,
Brexit: More votes promised as Labour says May running down the clock,https://www.bbc.co.uk/news/uk-47187491,
Nathan Gill set to join Nigel Farage's Brexit party,https://www.bbc.co.uk/news/uk-wales-politics-47183976,
What effect has Brexit had on the UK economy?,https://www.bbc.co.uk/news/business-47168866,
Darren Cave voices concerns on Brexit 'disrupting' Irish rugby,https://www.bbc.co.uk/news/uk-northern-ireland-47184715,
Brexit: Seaborne Freight no-deal ferry contract scrapped,https://www.bbc.co.uk/news/uk-47182361,
Brexit: Theresa May meets Leo Varadkar for Brexit talks,https://www.bbc.co.uk/news/uk-northern-ireland-47161550,
Lancaster University opens Leipzig campus amid Brexit fears,https://www.bbc.co.uk/news/uk-england-lancashire-47172359,
"Brexit: Labour plan can get majority, says John McDonnell",https://www.bbc.co.uk/news/uk-politics-47170369,
NI paper review: Brexit and nuclear fall-out,https://www.bbc.co.uk/news/uk-northern-ireland-47168189,
Brexit: Theresa May and Leo Varadkar to meet in Dublin,https://www.bbc.co.uk/news/uk-politics-47166501,
Brexit: 'More talks' pledge helps May in perception war,https://www.bbc.co.uk/news/uk-politics-47166144,
Decision on Ramsgate Brexit port funding on hold,https://www.bbc.co.uk/news/business-47163350,
Brexit: May says she can get deal through with binding changes,https://www.bbc.co.uk/news/uk-politics-47152035,
Brexit: What's behind Corbyn's letter to May?,https://www.bbc.co.uk/news/uk-politics-47160188,
Anti-Brexit MP Owen Smith 'considering' quitting Labour,https://www.bbc.co.uk/news/uk-wales-politics-47157567,
"Brexit stalemate scars prosperity, says Bank of England",https://www.bbc.co.uk/news/business-47157411,
NI paper review: DUP reaction after day of Brexit rancour,https://www.bbc.co.uk/news/uk-northern-ireland-47154587,
Brexit: Budget cuts threaten Ramsgate ferry plan,https://www.bbc.co.uk/news/business-47144762,
Drakeford and Sturgeon press PM to ask for Brexit delay,https://www.bbc.co.uk/news/uk-wales-politics-47150988,
Brexit: UK jobs 'attracting less interest from EU workers',https://www.bbc.co.uk/news/business-47002618,
May meets Northern Ireland politicians over Brexit,https://www.bbc.co.uk/news/uk-northern-ireland-47063078,
Brexit: Donald Tusk's planned outburst,https://www.bbc.co.uk/news/uk-politics-47147258,
Brexit risk for UK aid as Swiss cut off from EU funding,https://www.bbc.co.uk/news/world-europe-47142848,
Brexit: Will May make 'good enough' progress?,https://www.bbc.co.uk/news/uk-politics-47142078,
Student exchanges in no-deal Brexit threat,https://www.bbc.co.uk/news/education-47131426,
"No-deal Brexit threat to 40 trade deals, says CBI",https://www.bbc.co.uk/news/business-47130189,
Brexit: PM suggests backstop will not be removed from deal,https://www.bbc.co.uk/news/uk-northern-ireland-47123078,
"Keep structured Brexit strategy, says Sir Keir Starmer",https://www.bbc.co.uk/news/uk-wales-politics-47132953,
UK economy ‘stalls’ over Brexit and global economy fears,https://www.bbc.co.uk/news/business-47127927,
Apex Hotel chain boss in Brexit staff concern,https://www.bbc.co.uk/news/uk-scotland-scotland-business-47126928,
Brexit: Cost of printing Theresa May's EU withdrawal deal revealed,https://www.bbc.co.uk/news/uk-politics-47128398,
Brexit: 'Real exasperation and frustration' in Brussels,https://www.bbc.co.uk/news/uk-wales-47124944,
Nicola Sturgeon warns of no deal Brexit in US speech,https://www.bbc.co.uk/news/uk-scotland-47122528,
Brexit: The return of the 'max fac' solution to the Irish border,https://www.bbc.co.uk/news/uk-politics-47123330,
Brexit: Is Labour softening on freedom of movement?,https://www.bbc.co.uk/news/uk-politics-47122377,
UK to spend £800k on 'highly likely' Eurotunnel Brexit case,https://www.bbc.co.uk/news/uk-47124058,
Brexit: Customs checks to be simplified in no-deal situation,https://www.bbc.co.uk/news/uk-47121225,
Nissan £60m in doubt after investment U-turn,https://www.bbc.co.uk/news/business-47120759,
Brexit: EU digs heels in over deal,https://www.bbc.co.uk/news/world-europe-47121851,
Nissan Brexit jobs jibe: Bridgend councillor apologises,https://www.bbc.co.uk/news/uk-wales-47117107,
Brexit: Talks on backstop 'alternative arrangements' begin,https://www.bbc.co.uk/news/uk-politics-47110641,
Theresa May to give Brexit speech from Northern Ireland,https://www.bbc.co.uk/news/uk-northern-ireland-47118649,
Brexit: NI sheep farmers express tariff fears,https://www.bbc.co.uk/news/uk-northern-ireland-47089957,
Brexit: What are the new ideas for the Irish backstop?,https://www.bbc.co.uk/news/uk-northern-ireland-47110707,
"Brexit: Deal with backstop toxicity, says Arlene Foster",https://www.bbc.co.uk/news/uk-northern-ireland-47107879,
"Brexit: UK still safe in no-deal scenario, says Javid",https://www.bbc.co.uk/news/uk-politics-47108445,
Brexit: Theresa May 'determined' to leave EU in March,https://www.bbc.co.uk/news/uk-politics-47105990,
Brexit: Care home and hospital caterers stockpiling food,https://www.bbc.co.uk/news/business-47095011,
Newspaper headlines: 'Brexit plan to evacuate the Queen',https://www.bbc.co.uk/news/blogs-the-papers-47105644,
Brexit: John McDonnell rejects any funds deal for votes,https://www.bbc.co.uk/news/uk-politics-47103755,
Brexit: UK plans new product safety mark for 'no deal' scenario,https://www.bbc.co.uk/news/business-47096621,
Businesses 'not ready for no-deal Brexit' - Invest NI,https://www.bbc.co.uk/news/uk-northern-ireland-47090434,
"Brexit: Leave.EU and Arron Banks' firm fined £120,000 over data breaches",https://www.bbc.co.uk/news/uk-politics-47087440,
Brexit: Labour MPs in 'show us the money' row,https://www.bbc.co.uk/news/uk-politics-47087434,
Brexit: Manufacturers stockpiling at record pace,https://www.bbc.co.uk/news/business-47086920,
Brexit: Third of UK businesses considering move abroad - survey,https://www.bbc.co.uk/news/business-47083214,
